"zone","state","lga","sector","ea","pid","c1q2","c1q3","c1q4a","c1q4b","c1q4c","c1q5","c1q6"
4,1,108,2,904,7,2,52,9,,,52,26
4,1,108,2,904,1,1,82,1,,,16,42
4,1,110,2,76,5,1,35,8,,,35,26
4,1,110,2,76,6,1,62,3,,,4,41
4,1,110,2,76,2,1,52,3,,,15,42
4,1,110,2,76,7,1,57,8,,,7,16
4,1,110,2,76,3,1,60,3,,,8,16
4,1,110,2,76,4,2,62,11,,"women leader",62,26
4,1,110,2,76,1,1,74,1,,,74,0
4,1,111,1,1146,6,1,45,8,,,45,26
4,1,111,1,1146,9,1,51,8,,,51,26
4,1,111,1,1146,1,1,52,1,,,52,26
4,1,111,1,1146,4,1,51,8,,,51,16
4,1,111,1,1146,2,1,55,3,,,55,26
4,1,111,1,1146,3,1,42,8,,,42,16
4,1,111,1,1146,5,2,50,11,,"politician",30,26
4,1,111,1,1146,8,1,71,11,,"civil servant",50,16
4,1,111,1,1146,7,1,65,8,,,45,26
4,1,115,1,670,5,2,61,8,,,17,42
4,1,115,1,670,6,1,52,11,,"Medical doctor",10,42
4,1,115,1,670,3,1,61,8,,,14,42
4,1,115,1,670,7,2,53,2,,,13,43
4,1,115,1,670,1,1,55,1,,,13,43
4,1,115,1,670,4,1,63,8,,,14,43
4,1,115,1,670,2,1,68,11,,"Retired Civil Servant",14,43
4,1,117,2,560,4,1,48,3,,,48,16
4,1,117,2,560,5,1,56,8,,,56,16
4,1,117,2,560,8,1,63,9,,,53,26
4,1,117,2,560,3,2,52,2,,,52,16
4,1,117,2,560,7,1,53,8,,,53,26
4,1,117,2,560,2,1,49,8,,,49,16
4,1,117,2,560,1,1,71,1,,,71,16
4,1,117,2,560,6,2,48,6,,,48,16
2,2,201,2,60,5,1,65,6,,,65,16
2,2,201,2,60,2,1,36,7,,,36,42
2,2,201,2,60,3,1,80,6,,,80,0
2,2,201,2,60,4,2,42,2,,,42,0
2,2,201,2,60,1,1,65,1,,,65,0
2,2,203,2,1224,5,2,52,2,,,30,0
2,2,203,2,1224,4,1,30,11,,"telor",30,26
2,2,203,2,1224,2,1,58,3,,,32,0
2,2,203,2,1224,3,1,37,6,,,37,16
2,2,203,2,1224,1,1,72,1,,,72,16
2,2,205,2,712,1,1,56,1,,,56,42
2,2,205,2,712,2,1,69,3,,,69,16
2,2,205,2,712,5,1,27,6,,,27,26
2,2,205,2,712,3,2,50,2,,,50,27
2,2,205,2,712,4,1,46,5,,,46,42
2,2,207,2,1302,3,1,56,3,,,56,13
2,2,207,2,1302,6,1,34,11,,"Applicant",34,41
2,2,207,2,1302,2,2,40,2,,,30,0
2,2,207,2,1302,4,1,43,6,,,43,16
2,2,207,2,1302,1,1,75,1,,,30,0
2,2,207,2,1302,5,1,41,6,,,41,22
2,2,209,2,1040,5,1,50,1,,,50,34
2,2,209,2,1040,4,2,19,6,,,19,23
2,2,209,2,1040,6,2,18,6,,,2,16
2,2,209,2,1040,1,1,31,6,,,30,26
2,2,209,2,1040,3,1,21,6,,,7,26
2,2,209,2,1040,2,2,20,6,,,5,26
2,2,210,2,1300,1,1,56,1,,,56,16
2,2,210,2,1300,5,1,57,8,,,30,0
2,2,210,2,1300,2,1,44,6,,,44,14
2,2,210,2,1300,6,1,40,8,,,40,22
2,2,210,2,1300,4,1,35,6,,,35,15
2,2,210,2,1300,3,1,45,6,,,21,0
2,2,212,2,956,3,1,60,3,,,60,0
2,2,212,2,956,2,1,68,3,,,68,0
2,2,212,2,956,5,2,32,2,,,32,0
2,2,212,2,956,1,1,40,1,,,40,0
2,2,212,2,956,4,2,30,2,,,30,0
2,2,214,2,898,3,2,40,2,,,35,16
2,2,214,2,898,2,2,35,2,,,6,0
2,2,214,2,898,5,1,65,6,,,40,26
2,2,214,2,898,4,1,60,4,,,2,42
2,2,214,2,898,1,1,58,1,,,44,0
2,2,215,1,8,5,1,57,6,,,27,0
2,2,215,1,8,7,1,53,9,,,15,26
2,2,215,1,8,8,1,75,6,,,43,0
2,2,215,1,8,4,1,50,8,,,33,16
2,2,215,1,8,6,1,40,6,,,17,0
2,2,215,1,8,2,1,30,3,,,30,41
2,2,215,1,8,9,1,45,6,,,38,26
2,2,215,1,8,1,1,32,1,,,32,26
2,2,215,1,8,3,1,69,6,,,22,26
2,2,216,2,200,5,1,21,11,,"Students",21,25
2,2,216,2,200,6,1,42,6,,,26,26
2,2,216,2,200,1,1,41,1,,,31,16
2,2,216,2,200,4,1,26,6,,,26,16
2,2,216,2,200,3,1,32,6,,,32,21
2,2,216,2,200,2,1,34,3,,,34,16
2,2,218,2,1592,2,1,65,1,,,38,51
2,2,218,2,1592,4,1,40,11,,"community member",30,51
2,2,218,2,1592,5,1,39,11,,"community member",39,51
2,2,218,2,1592,1,1,75,3,,,43,51
2,2,218,2,1592,6,1,68,9,,,20,51
2,2,218,2,1592,3,1,38,11,,"community member",20,51
2,2,221,2,18,6,1,30,9,,,30,42
2,2,221,2,18,5,1,59,9,,,59,51
2,2,221,2,18,4,1,50,6,,,50,16
2,2,221,2,18,3,1,61,6,,,61,0
2,2,221,2,18,1,1,62,1,,,60,0
2,2,221,2,18,2,2,45,2,,,18,0
5,3,301,1,1198,3,1,50,9,,,15,42
5,3,301,1,1198,2,1,73,11,,"family head",40,13
5,3,301,1,1198,1,1,65,1,,,35,26
5,3,301,1,1198,4,1,30,11,,"family head",18,16
5,3,301,1,1198,5,1,35,11,,"family head",15,21
5,3,305,2,4,5,2,48,9,,,25,34
5,3,305,2,4,4,1,57,3,,,30,16
5,3,305,2,4,1,1,58,1,,,30,42
5,3,305,2,4,2,1,72,11,,"family head",40,16
5,3,305,2,4,3,1,60,11,,"family head",30,16
5,3,305,2,4,6,1,40,11,,"youth leader",20,26
5,3,305,2,1542,5,1,21,11,,"represent youth",15,26
5,3,305,2,1542,1,1,48,1,,,30,42
5,3,305,2,1542,3,2,45,11,,"women leader",20,31
5,3,305,2,1542,2,1,74,11,,"family head",35,31
5,3,305,2,1542,4,1,75,8,,,35,15
5,3,307,1,634,4,1,86,11,,"Family head",60,32
5,3,307,1,634,1,1,69,1,,,50,43
5,3,307,1,634,3,1,60,11,,"Family head",40,16
5,3,307,1,634,6,1,49,11,,"Youth leader",30,26
5,3,307,1,634,2,2,45,2,,,30,34
5,3,307,1,634,5,2,82,11,,"Women leader",50,43
5,3,309,2,478,2,1,65,11,,"deputy village head",45,16
5,3,309,2,478,6,2,50,11,,"women leader",21,12
5,3,309,2,478,3,1,55,11,,"family head",25,14
5,3,309,2,478,1,1,60,1,,,30,16
5,3,309,2,478,5,1,32,11,,"vice chairman",20,15
5,3,309,2,478,4,1,55,11,,"family head",30,12
5,3,312,2,20,1,1,72,1,,,40,13
5,3,312,2,20,5,1,70,11,,"Chairman",25,16
5,3,312,2,20,4,2,53,8,,,25,16
5,3,312,2,20,2,1,65,8,,,36,16
5,3,312,2,20,3,1,70,11,,"Family head",30,12
5,3,313,2,70,3,1,60,11,,"family head",25,12
5,3,313,2,70,6,1,40,3,,,15,23
5,3,313,2,70,4,1,48,11,,"family head",20,16
5,3,313,2,70,1,1,68,1,,,50,16
5,3,313,2,70,2,1,70,9,,,55,16
5,3,313,2,70,5,2,65,11,,"women leader",30,0
5,3,316,2,874,2,1,48,11,,"family head",30,41
5,3,316,2,874,5,1,40,11,,"secretary",26,26
5,3,316,2,874,1,1,52,1,,,45,16
5,3,316,2,874,3,1,49,11,,"Youth President",25,23
5,3,316,2,874,7,1,41,11,,"family head",20,16
5,3,316,2,874,6,2,52,11,,"Women leader",24,13
5,3,318,2,1136,1,1,65,1,,,30,26
5,3,318,2,1136,3,1,36,11,,"family head",20,26
5,3,318,2,1136,2,1,45,11,,"secretary",25,41
5,3,318,2,1136,5,2,70,8,,,10,0
5,3,318,2,1136,4,1,36,11,,"youth leader",15,26
5,3,321,2,364,4,1,38,11,,"Youth leader",25,26
5,3,321,2,364,3,1,76,11,,"secretary",50,16
5,3,321,2,364,5,2,43,11,,"Women leader",24,26
5,3,321,2,364,1,1,58,1,,,36,43
5,3,321,2,364,2,1,75,11,,"chairman",46,16
5,3,323,2,580,2,2,67,2,,,30,31
5,3,323,2,580,5,1,52,8,,,25,26
5,3,323,2,580,1,1,80,1,,,40,31
5,3,323,2,580,6,1,41,11,,"Youth leader",20,26
5,3,323,2,580,4,1,75,11,,"Family head",40,16
5,3,326,2,74,3,1,43,11,,"family head",20,16
5,3,326,2,74,1,1,42,1,,,25,32
5,3,326,2,74,2,1,52,11,,"family head",30,16
5,3,326,2,74,4,1,60,11,,"family head",22,26
5,3,326,2,74,6,1,29,11,,"youth leader",15,26
5,3,326,2,74,5,2,53,8,,,20,34
5,3,329,2,696,4,1,52,11,,"civil servant",30,43
5,3,329,2,696,5,1,43,9,,,25,26
5,3,329,2,696,3,1,74,11,,"Palace member",35,16
5,3,329,2,696,2,1,65,11,,"Palace chairman",45,16
5,3,329,2,696,1,1,90,1,,,50,43
5,3,329,2,696,6,2,45,8,,,25,26
5,3,331,1,516,5,1,39,11,,"secretary",25,26
5,3,331,1,516,6,1,51,11,,"Youth leader",30,26
5,3,331,1,516,2,1,57,11,,"chairman",41,41
5,3,331,1,516,1,1,62,1,,,40,26
5,3,331,1,516,4,2,50,11,,"Women leader",30,23
5,3,331,1,516,3,1,67,11,,"Family head",50,16
5,3,331,1,2322,4,1,45,3,,,25,16
5,3,331,1,2322,2,1,70,8,,,60,12
5,3,331,1,2322,3,2,50,8,,,30,16
5,3,331,1,2322,6,1,26,11,,"Youth Leader",20,25
5,3,331,1,2322,1,1,82,1,,,75,16
5,3,331,1,2322,5,1,44,11,,"Family head",30,26
4,4,401,1,738,2,1,89,6,,,35,2
4,4,401,1,738,1,1,83,1,,,40,0
4,4,401,1,738,4,1,76,6,,,24,16
4,4,401,1,738,3,1,80,6,,,25,15
4,4,401,1,738,5,2,72,6,,,20,0
4,4,401,1,1460,4,1,60,6,,,20,16
4,4,401,1,1460,3,1,80,6,,,22,16
4,4,401,1,1460,1,1,85,1,,,35,0
4,4,401,1,1460,2,1,78,6,,,25,16
4,4,401,1,1460,5,2,65,6,,,18,16
4,4,401,2,2106,2,1,62,6,,,28,13
4,4,401,2,2106,4,2,50,8,,,20,14
4,4,401,2,2106,3,2,65,6,,,18,34
4,4,401,2,2106,5,1,23,11,,"student",15,42
4,4,401,2,2106,1,1,62,1,,,30,16
4,4,402,2,1080,5,1,53,9,,,30,26
4,4,402,2,1080,4,1,44,5,,,30,26
4,4,402,2,1080,3,1,74,8,,,42,24
4,4,402,2,1080,2,1,64,8,,,33,16
4,4,402,2,1080,1,1,61,1,,,30,16
4,4,403,2,836,5,1,49,8,,,22,16
4,4,403,2,836,4,2,45,8,,,25,42
4,4,403,2,836,6,1,47,11,,"Driver",24,26
4,4,403,2,836,1,1,42,1,,,20,16
4,4,403,2,836,2,1,44,3,,,35,26
4,4,403,2,836,3,2,64,5,,,50,26
4,4,405,2,484,1,1,53,1,,,40,16
4,4,405,2,484,2,1,29,6,,,20,16
4,4,405,2,484,4,1,30,6,,,15,23
4,4,405,2,484,5,2,31,6,,,17,23
4,4,405,2,484,3,1,53,6,,,22,26
4,4,405,2,722,2,1,56,6,,,32,16
4,4,405,2,722,1,1,70,1,,,40,16
4,4,405,2,722,3,1,65,8,,,30,16
4,4,405,2,722,5,1,33,6,,,15,24
4,4,405,2,722,4,1,50,6,,,25,21
4,4,407,2,796,5,2,50,6,,,12,0
4,4,407,2,796,1,1,75,1,,,35,0
4,4,407,2,796,4,1,57,6,,,15,16
4,4,407,2,796,3,1,77,6,,,25,16
4,4,407,2,796,2,1,78,6,,,32,16
4,4,410,1,3192,6,2,59,6,,,30,16
4,4,410,1,3192,3,1,78,6,,,25,13
4,4,410,1,3192,1,1,74,1,,,35,15
4,4,410,1,3192,4,1,60,6,,,28,16
4,4,410,1,3192,2,1,67,8,,,30,15
4,4,410,1,3192,5,2,60,8,,,26,14
4,4,410,1,3414,3,1,65,8,,,45,16
4,4,410,1,3414,7,1,18,11,,"student",10,24
4,4,410,1,3414,6,2,59,6,,,25,12
4,4,410,1,3414,4,2,69,6,,,50,0
4,4,410,1,3414,2,1,70,3,,,45,16
4,4,410,1,3414,1,1,65,1,,,50,0
4,4,410,1,3414,5,1,22,7,,,10,16
4,4,410,2,4036,4,2,37,8,,,27,16
4,4,410,2,4036,6,2,75,8,,,53,16
4,4,410,2,4036,2,1,52,8,,,40,16
4,4,410,2,4036,1,1,47,1,,,35,43
4,4,410,2,4036,3,1,64,8,,,47,26
4,4,410,2,4036,5,2,75,8,,,50,16
4,4,411,1,1486,1,1,66,1,,,54,16
4,4,411,1,1486,2,1,64,7,3,,34,16
4,4,411,1,1486,4,2,54,8,,,43,34
4,4,411,1,1486,3,2,45,8,,,20,26
4,4,411,1,1486,5,2,68,5,,,45,42
4,4,412,2,1606,2,1,59,3,,,45,42
4,4,412,2,1606,7,2,69,8,,,45,16
4,4,412,2,1606,4,1,50,8,,,35,16
4,4,412,2,1606,3,1,75,8,,,60,42
4,4,412,2,1606,1,1,68,1,,,50,42
4,4,412,2,1606,6,1,39,8,,,19,23
4,4,412,2,1606,5,2,48,8,,,20,16
4,4,412,2,2592,4,1,45,8,,,30,16
4,4,412,2,2592,2,1,52,3,,,32,42
4,4,412,2,2592,5,1,34,8,,,25,16
4,4,412,2,2592,1,1,47,1,,,40,42
4,4,412,2,2592,3,2,32,8,,,25,42
4,4,412,2,2592,6,1,52,8,,,32,16
4,4,413,2,1540,5,2,28,5,,,20,42
4,4,413,2,1540,3,1,38,8,,,20,26
4,4,413,2,1540,2,1,35,8,,,28,42
4,4,413,2,1540,4,2,25,5,,,15,42
4,4,413,2,1540,1,1,52,1,,,45,42
4,4,414,1,2176,4,1,30,8,,,20,16
4,4,414,1,2176,2,1,44,3,,,44,43
4,4,414,1,2176,5,1,36,8,,,24,22
4,4,414,1,2176,3,2,42,8,,,42,23
4,4,414,1,2176,1,1,48,1,,,42,43
4,4,414,1,2176,7,2,44,8,,,20,26
4,4,415,1,2108,4,2,80,9,,,50,16
4,4,415,1,2108,1,1,57,1,,,40,42
4,4,415,1,2108,3,2,37,8,,,27,16
4,4,415,1,2108,5,2,32,8,,,20,42
4,4,415,1,2108,2,1,40,8,,,32,42
4,4,416,1,616,3,1,47,3,,,23,23
4,4,416,1,616,1,1,68,1,,,30,16
4,4,416,1,616,4,1,62,8,,,17,27
4,4,416,1,616,5,2,32,8,,,20,23
4,4,416,1,616,2,1,41,3,,,22,23
4,4,417,1,678,1,1,20,9,,,15,15
4,4,417,1,678,3,2,30,8,,,17,34
4,4,417,1,678,4,1,72,3,,,27,31
4,4,417,1,678,2,1,39,8,,,14,16
4,4,417,1,678,5,1,70,9,,,22,42
4,4,418,1,44,1,1,59,1,,,32,42
4,4,418,1,44,2,1,69,8,,,24,16
4,4,418,1,44,5,1,41,8,,,20,26
4,4,418,1,44,4,2,32,8,,,14,33
4,4,418,1,44,3,1,30,8,,,14,16
4,4,419,2,296,3,1,90,6,,,40,16
4,4,419,2,296,5,2,65,6,,,25,16
4,4,419,2,296,2,1,63,6,,,35,16
4,4,419,2,296,4,2,60,6,,,22,31
4,4,419,2,296,1,1,52,1,,,25,26
4,4,421,1,800,2,1,58,6,,,22,14
4,4,421,1,800,1,1,74,1,,,25,1
4,4,421,1,800,3,1,70,8,,,15,42
4,4,421,1,800,4,2,48,8,,,12,32
4,4,421,1,800,5,1,19,11,,"student",10,24
2,5,501,2,60,4,1,40,6,,,40,16
2,5,501,2,60,5,1,47,8,,,47,51
2,5,501,2,60,2,1,53,9,,,53,16
2,5,501,2,60,1,1,55,5,,,55,51
2,5,501,2,60,3,1,44,6,,,44,0
2,5,502,1,2194,4,1,30,3,,,30,41
2,5,502,1,2194,2,1,42,8,,,7,16
2,5,502,1,2194,5,1,44,3,,,44,41
2,5,502,1,2194,1,1,57,1,,,57,0
2,5,502,1,2194,3,1,52,4,,,52,34
2,5,502,2,3878,1,1,45,1,,,45,26
2,5,502,2,3878,4,1,62,3,,,48,0
2,5,502,2,3878,2,1,42,3,,,42,23
2,5,502,2,3878,5,1,50,9,,,22,16
2,5,502,2,3878,3,1,30,8,,,30,0
2,5,504,2,708,1,1,65,1,,,56,16
2,5,504,2,708,4,1,25,11,,"Youth Leader",25,16
2,5,504,2,708,3,1,52,9,,,42,51
2,5,504,2,708,2,2,45,2,,,42,16
2,5,504,2,708,6,1,50,4,,,50,34
2,5,504,2,708,5,1,33,8,,,32,16
2,5,504,2,708,7,2,43,8,,,30,0
2,5,506,2,830,3,1,49,3,,,49,16
2,5,506,2,830,7,1,51,3,,,51,22
2,5,506,2,830,6,1,77,6,,,40,0
2,5,506,2,830,5,1,30,8,,,30,16
2,5,506,2,830,2,1,48,3,,,48,16
2,5,506,2,830,1,1,44,1,,,44,16
2,5,506,2,830,4,1,62,9,,,62,51
2,5,508,2,718,5,1,40,8,,,40,25
2,5,508,2,718,4,1,35,8,,,35,26
2,5,508,2,718,3,1,36,8,,,36,22
2,5,508,2,718,2,1,67,9,,,67,51
2,5,508,2,718,1,1,44,1,,,44,26
2,5,508,2,984,1,1,41,1,,,41,22
2,5,508,2,984,4,1,23,6,,,23,0
2,5,508,2,984,5,1,70,3,,,70,51
2,5,508,2,984,3,1,25,8,,,25,0
2,5,508,2,984,2,1,32,8,,,32,0
2,5,510,1,872,1,1,53,1,,,20,41
2,5,510,1,872,4,1,40,8,,,40,26
2,5,510,1,872,3,1,42,9,,,25,41
2,5,510,1,872,5,1,30,11,,"Youth leader",20,41
2,5,510,1,872,2,2,45,2,,,20,26
2,5,510,2,1516,3,1,63,9,,,60,51
2,5,510,2,1516,4,1,42,8,,,42,16
2,5,510,2,1516,2,2,32,2,,,25,16
2,5,510,2,1516,1,1,46,1,,,35,26
2,5,510,2,1516,5,1,35,11,,"Youth Leader",35,16
2,5,513,2,348,1,1,67,1,,,36,51
2,5,513,2,348,5,1,36,8,,,32,0
2,5,513,2,348,3,1,22,6,,,20,26
2,5,513,2,348,4,1,30,8,,,28,0
2,5,513,2,348,2,1,62,9,,,30,0
2,5,514,2,710,4,1,55,5,,,50,31
2,5,514,2,710,7,1,50,7,,,50,42
2,5,514,2,710,3,1,61,9,,,60,51
2,5,514,2,710,5,1,40,8,,,35,26
2,5,514,2,710,6,1,26,11,,"youth leader",26,26
2,5,514,2,710,2,2,41,2,,,41,24
2,5,514,2,710,1,1,52,1,,,52,26
2,5,514,1,2036,5,1,25,8,,,25,26
2,5,514,1,2036,1,1,40,1,,,40,34
2,5,514,1,2036,4,1,29,5,,,20,42
2,5,514,1,2036,2,2,30,2,,,30,16
2,5,514,1,2036,3,1,59,9,,,45,34
2,5,514,1,2036,6,1,22,11,,"Youth leader",20,26
2,5,515,2,18,3,1,42,9,,,35,51
2,5,515,2,18,5,1,27,11,,"Youth leader",20,51
2,5,515,2,18,4,1,51,8,,,40,51
2,5,515,2,18,2,2,50,2,,,45,51
2,5,515,2,18,6,1,50,5,,,35,51
2,5,515,2,18,1,1,65,1,,,60,0
2,5,516,2,942,1,1,58,1,,,58,16
2,5,516,2,942,4,1,62,8,,,62,51
2,5,516,2,942,2,2,45,2,,,45,0
2,5,516,2,942,3,1,70,9,,,70,51
2,5,516,2,942,5,1,33,11,,"Youth Leader",33,16
2,5,518,2,1304,4,1,20,8,,,20,26
2,5,518,2,1304,2,1,45,9,,,45,51
2,5,518,2,1304,3,1,35,8,,,35,0
2,5,518,2,1304,1,1,36,1,,,36,26
2,5,518,2,1304,5,2,37,6,,,37,16
2,5,518,2,1588,2,1,42,9,,,42,34
2,5,518,2,1588,1,1,51,1,,,40,0
2,5,518,2,1588,3,1,30,8,,,30,0
2,5,518,2,1588,4,1,48,8,,,48,0
2,5,518,2,1588,5,1,39,9,,,39,0
2,5,520,2,1756,2,2,38,2,,,25,0
2,5,520,2,1756,1,1,48,1,,,48,16
2,5,520,2,1756,4,1,27,8,,,27,16
2,5,520,2,1756,5,1,25,11,,"youth leader",25,16
2,5,520,2,1756,3,1,52,9,,,52,51
5,6,601,2,640,2,2,52,2,,,8,42
5,6,601,2,640,3,1,47,11,,"CDC.CHAIRMAN",10,34
5,6,601,2,640,6,1,62,9,,,27,42
5,6,601,2,640,7,1,60,11,,"PRINCIPAL",25,42
5,6,601,2,640,4,1,42,11,,"YOUTH LEADER",17,42
5,6,601,2,640,5,2,60,11,,"WOMAN LEADER",26,41
5,6,601,2,640,1,1,71,1,,,8,43
5,6,602,2,1356,5,1,27,11,,"Youth Leader",27,26
5,6,602,2,1356,1,1,63,1,,,21,42
5,6,602,2,1356,4,2,34,11,,"Women Leader",9,26
5,6,602,2,1356,3,1,39,11,,"C.D.C  Chairman",6,42
5,6,602,2,1356,6,1,65,9,,,65,34
5,6,602,2,1356,7,1,52,11,,"C.D.C  SECRTARY",12,42
5,6,602,2,1356,2,2,49,2,,,11,26
5,6,605,2,162,9,1,31,11,,"YOUTH MEMBER",21,42
5,6,605,2,162,8,1,43,11,,"CDD Chairman",26,26
5,6,605,2,162,4,1,35,11,,"YOUTH LEADER",23,42
5,6,605,2,162,7,1,35,11,,"OPINION LEADED?",20,42
5,6,605,2,162,5,1,47,11,,"P.R.O.",37,26
5,6,605,2,162,3,1,50,11,,"chief.security office,  cdc.",30,26
5,6,605,2,162,1,1,37,1,,,31,26
5,6,605,2,162,2,2,34,2,,,6,42
5,6,605,2,162,6,2,47,11,,"WOMEN LEADER",47,26
5,6,606,2,1372,4,2,43,11,,"Women Leader",24,31
5,6,606,2,1372,2,2,58,2,,,23,26
5,6,606,2,1372,3,1,45,11,,"C.D.C.Chairman",26,43
5,6,606,2,1372,1,1,75,1,,,34,42
5,6,606,2,1372,6,1,34,11,,"Financial secretray",20,34
5,6,607,2,1892,7,1,55,9,,,55,34
5,6,607,2,1892,5,1,24,11,,"YOUTH LEADER",15,42
5,6,607,2,1892,6,2,60,11,,"WOMEN LEADER",40,16
5,6,607,2,1892,1,1,66,1,,,35,42
5,6,607,2,1892,3,1,35,11,,"C.D.C Chairman",20,26
5,6,608,2,748,4,1,28,11,,"Youth Leader",20,26
5,6,608,2,748,2,1,39,11,,"Chairman CDC",12,26
5,6,608,2,748,5,1,32,5,,,18,34
5,6,608,2,748,1,1,44,1,,,26,41
5,6,608,2,748,3,2,57,11,,"Women Leader",57,12
5,6,608,1,3978,1,1,73,1,,,38,42
5,6,608,1,3978,5,1,56,11,,"Financial secrtary",17,26
5,6,608,1,3978,3,1,34,11,,"Wonen leader",30,26
5,6,608,1,3978,4,1,62,11,,"Secrtray CDC",56,16
5,6,608,1,3978,2,2,62,2,,,30,26
1,7,701,2,606,1,1,72,1,,,72,0
1,7,701,2,606,5,1,68,11,,"community elder",65,0
1,7,701,2,606,4,2,42,8,,,42,0
1,7,701,2,606,2,1,50,11,,"Youth leader",50,26
1,7,701,2,606,3,1,65,3,,,65,0
1,7,702,2,632,4,1,30,9,,,30,26
1,7,702,2,632,1,1,70,1,,,70,0
1,7,702,2,632,3,1,35,5,,,35,34
1,7,702,2,632,2,1,35,3,,,35,26
1,7,702,2,632,5,2,40,8,,,40,0
1,7,705,2,4186,1,1,50,1,,,50,26
1,7,705,2,4186,2,2,43,2,,,27,15
1,7,705,2,4186,5,1,52,6,,,52,26
1,7,705,2,4186,6,2,44,8,,,26,27
1,7,705,2,4186,4,1,54,5,,,54,26
1,7,705,2,4186,3,1,52,6,,,52,26
1,7,707,2,560,3,1,50,6,,,50,0
1,7,707,2,560,2,2,53,2,,,37,16
1,7,707,2,560,1,1,63,1,,,63,0
1,7,707,2,560,6,1,50,6,,,48,16
1,7,707,2,560,5,2,41,8,,,23,23
1,7,707,2,560,4,1,40,6,,,40,34
1,7,708,2,754,4,1,52,6,,,16,26
1,7,708,2,754,5,1,53,5,,,22,34
1,7,708,2,754,2,1,52,1,,,52,16
1,7,708,2,754,3,2,48,2,,,31,26
1,7,708,2,754,6,2,38,8,,,23,0
1,7,709,2,1226,4,2,30,8,,,24,26
1,7,709,2,1226,1,1,71,1,,,71,16
1,7,709,2,1226,5,1,25,6,,,25,26
1,7,709,2,1226,2,2,57,2,,,40,0
1,7,709,2,1226,3,1,37,7,,,37,28
1,7,710,2,2726,4,1,30,7,,,30,27
1,7,710,2,2726,2,1,35,8,,,35,23
1,7,710,2,2726,5,1,59,11,,"Retired Army Officer",59,28
1,7,710,2,2726,1,1,55,1,,,55,16
1,7,710,2,2726,3,2,38,8,,,22,26
1,7,711,2,2532,2,1,60,6,,,60,16
1,7,711,2,2532,3,2,46,8,,,30,26
1,7,711,2,2532,4,1,43,8,,,30,26
1,7,711,2,2532,5,2,42,6,,,28,16
1,7,711,2,2532,1,1,70,1,,,70,0
1,7,713,2,304,2,2,65,2,,,45,0
1,7,713,2,304,6,1,35,9,,,30,41
1,7,713,2,304,1,1,70,1,,,70,13
1,7,713,2,304,3,1,45,3,,,45,16
1,7,713,2,304,5,1,40,11,,"youth Leader",40,16
1,7,713,2,304,4,2,65,8,,,45,0
1,7,715,1,294,5,2,58,8,,,35,34
1,7,715,1,294,4,1,62,9,,,62,26
